trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,False,"{'a': 0.5, 'e': 0.0820849986238988}",25,16,5.008577377837449,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.07427357821433389}",20,14,13.390876007173677,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.06720551273974976}",20,0,30.58716126055397,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.06081006262521796}",20,5,-3.269828679242737,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.05502322005640722}",20,16,5.88649347032538,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.04978706836786395}",20,13,14.217634811180465,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.04504920239355781}",30,8,44.88461555897301,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.04076220397836622}",25,5,31.027006824494013,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.03688316740124}",20,0,32.89686220469666,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.03337326996032607}",25,14,11.656459385494465,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.030197383422318508}",20,0,20.02007996555121,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.027323722447292562}",30,0,25.247929655415618,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.02472352647033939}",25,3,21.15929206150038,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.022370771856165594}",25,0,40.22948236878675,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.020241911445804384}",20,13,14.580873900297467,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.018315638888734186}",25,18,9.462427727914976,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.01657267540176124}",30,14,22.979384864703597,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.014995576820477707}",25,1,27.71707570711066,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.013568559012200937}",25,16,14.70644964740227,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.01227733990306844}",25,0,34.706349488020514,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.01110899653824231}",25,0,32.96940858222081,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.010051835744633579}",25,11,24.65485270646792,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.009095277101695817}",25,5,32.45820568088991,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.008229747049020025}",20,12,10.793521169540252,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.00744658307092434}",25,8,27.359482376191366,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.006737946999085469}",25,0,27.737482140220212,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.006096746565515634}",20,4,27.460542685418247,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.005516564420760773}",25,13,17.142484398517613,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.004991593906910214}",20,2,27.152144457673057,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.004516580942612668}",35,11,46.207822723667604,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.004086771438464068}",20,8,14.434497147161647,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.00369786371648293}",20,2,-5.180593233975644,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.0033459654574712733}",30,0,32.27761900914371,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
